epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,898.884,1.26795,1.86231,1.72879,0.02496,0.44638,0.04374,0.01144,2.46806,63.8462,4.74306,0.00332308,0.00332308,0.0700923
2,1787.32,1.2739,1.5665,1.71123,0.68494,0.33155,0.4196,0.16108,1.90871,21.6346,3.23742,0.00657404,0.00657404,0.0400099
3,2677.01,1.19718,1.39727,1.63877,0.7029,0.73528,0.75721,0.4311,1.16458,21.7522,1.89583,0.0097425,0.0097425,0.00984506
4,3567.21,1.13619,1.28785,1.58808,0.89025,0.14146,0.16298,0.05621,2.66992,18.062,4.6485,0.00962875,0.00962875,0.00962875
5,4456.54,1.06361,1.21705,1.53793,0.35175,0.20248,0.1652,0.05876,2.62951,20.9711,4.34578,0.009505,0.009505,0.009505
6,5346.88,1.02977,1.12711,1.4999,0.59449,0.62996,0.62827,0.26788,1.86082,10.8081,2.63533,0.00938125,0.00938125,0.00938125
7,6236.72,1.01648,1.1026,1.48653,0.73329,0.82028,0.83546,0.53369,1.31881,5.95686,1.89859,0.0092575,0.0092575,0.0092575
8,7126.69,0.98887,1.06613,1.46557,0.62655,0.19208,0.20625,0.09317,2.32471,5.45458,3.53581,0.00913375,0.00913375,0.00913375
9,8017.78,0.96822,1.00188,1.45333,0.92538,0.86671,0.94731,0.66291,1.06664,8.5717,1.61422,0.00901,0.00901,0.00901
10,8907.36,0.96619,0.97533,1.44118,0.93821,0.89368,0.9627,0.7088,1.01543,8.90887,1.56711,0.00888625,0.00888625,0.00888625
11,9798.71,0.93735,0.93819,1.42522,0.80474,0.82106,0.91142,0.65744,1.08174,4.29427,1.69229,0.0087625,0.0087625,0.0087625
12,10688.8,0.92561,0.92062,1.40823,0.69531,0.72874,0.74158,0.44161,1.32888,4.2908,1.9249,0.00863875,0.00863875,0.00863875
13,11580.1,0.90131,0.88676,1.39683,0.80981,0.88829,0.93639,0.66643,1.15083,4.26241,1.74198,0.008515,0.008515,0.008515
14,12470.2,0.89536,0.87877,1.39371,0.91125,0.86932,0.94502,0.69736,1.06876,6.81354,1.62609,0.00839125,0.00839125,0.00839125
15,13361.7,0.88471,0.84278,1.38365,0.9133,0.91965,0.9674,0.7327,0.92307,3.86805,1.50508,0.0082675,0.0082675,0.0082675
16,14253.2,0.87457,0.85704,1.37501,0.90824,0.88449,0.95392,0.69211,1.21657,4.30039,1.71091,0.00814375,0.00814375,0.00814375
17,15145.6,0.86418,0.82528,1.36554,0.90196,0.87279,0.95164,0.72545,0.85854,8.95923,1.43019,0.00802,0.00802,0.00802
18,16036.3,0.85743,0.80974,1.36201,0.93489,0.89223,0.96662,0.71961,0.8955,8.6305,1.4617,0.00789625,0.00789625,0.00789625
19,16936.5,0.85819,0.80905,1.36342,0.77605,0.8146,0.8559,0.63659,0.89957,4.33115,1.45317,0.0077725,0.0077725,0.0077725
20,17828.5,0.83891,0.7792,1.34582,0.93156,0.86445,0.958,0.73669,0.94446,2.5376,1.47058,0.00764875,0.00764875,0.00764875
21,18718.7,0.82666,0.76104,1.33782,0.9142,0.9329,0.95191,0.70434,1.19601,5.46426,1.68707,0.007525,0.007525,0.007525
22,19608.6,0.83613,0.77547,1.34923,0.91085,0.91525,0.96882,0.73444,1.00223,5.24018,1.54091,0.00740125,0.00740125,0.00740125
23,20500.8,0.82187,0.74417,1.33412,0.73251,0.83254,0.84434,0.59382,1.0375,4.59833,1.5973,0.0072775,0.0072775,0.0072775
24,21393.5,0.81086,0.73801,1.32726,0.97521,0.93546,0.97703,0.74605,0.92975,4.3189,1.44728,0.00715375,0.00715375,0.00715375
25,22287.4,0.81078,0.73778,1.32682,0.79337,0.82605,0.88504,0.62386,1.06757,2.65917,1.66155,0.00703,0.00703,0.00703
26,23177.8,0.80759,0.7198,1.32334,0.94854,0.92946,0.97349,0.7389,1.02313,4.03302,1.51856,0.00690625,0.00690625,0.00690625
27,24070.4,0.81046,0.7257,1.31843,0.91015,0.89996,0.96875,0.74904,1.01989,3.33327,1.5404,0.0067825,0.0067825,0.0067825
28,24961.4,0.80327,0.72507,1.31975,0.95015,0.94645,0.9678,0.75184,1.14674,5.9352,1.65826,0.00665875,0.00665875,0.00665875
29,25853.3,0.7974,0.69808,1.31638,0.93373,0.93839,0.97004,0.74755,1.077,3.13412,1.56335,0.006535,0.006535,0.006535
30,26744.6,0.78981,0.70624,1.30994,0.96574,0.93957,0.97735,0.76222,0.91257,3.43169,1.41585,0.00641125,0.00641125,0.00641125
31,27637.9,0.77863,0.69511,1.30699,0.9394,0.94626,0.96955,0.76986,0.9169,3.5212,1.40899,0.0062875,0.0062875,0.0062875
32,28529.5,0.7721,0.67482,1.30291,0.95499,0.95533,0.97069,0.76932,0.91478,2.94001,1.44107,0.00616375,0.00616375,0.00616375
33,29420.6,0.7676,0.65941,1.2936,0.95363,0.96095,0.97821,0.77866,0.86405,3.52658,1.36668,0.00604,0.00604,0.00604
34,30310.1,0.77084,0.65815,1.29522,0.95578,0.93908,0.98042,0.77538,0.89136,2.06068,1.38544,0.00591625,0.00591625,0.00591625
35,31202,0.7569,0.65316,1.284,0.90122,0.91709,0.9662,0.74648,0.91297,4.62099,1.40853,0.0057925,0.0057925,0.0057925
36,32091.6,0.76214,0.66204,1.28842,0.94341,0.9152,0.96602,0.76062,0.8944,4.37085,1.39268,0.00566875,0.00566875,0.00566875
37,32979.5,0.76114,0.65208,1.29144,0.95204,0.94454,0.97986,0.77908,1.02718,2.77298,1.55062,0.005545,0.005545,0.005545
38,33868.7,0.75942,0.65112,1.2871,0.96785,0.92189,0.97747,0.76744,0.91365,2.9623,1.39257,0.00542125,0.00542125,0.00542125
39,34760.9,0.7503,0.63354,1.28413,0.96308,0.94802,0.97751,0.79923,0.82393,2.83783,1.32871,0.0052975,0.0052975,0.0052975
40,35702.1,0.74382,0.62637,1.27511,0.94711,0.94433,0.97436,0.78854,0.89376,3.50284,1.3905,0.00517375,0.00517375,0.00517375
41,36676.7,0.74034,0.62159,1.27293,0.96717,0.94678,0.981,0.77846,0.87169,2.01904,1.36153,0.00505,0.00505,0.00505
42,37612.8,0.73245,0.60684,1.26114,0.96936,0.94819,0.98198,0.7893,0.89471,3.59504,1.39323,0.00492625,0.00492625,0.00492625
43,38525.8,0.73897,0.61788,1.26846,0.95838,0.93146,0.97749,0.78925,0.80857,3.0849,1.30909,0.0048025,0.0048025,0.0048025
44,39470.2,0.7296,0.60169,1.26314,0.96232,0.93283,0.97456,0.78069,0.84169,2.33475,1.33264,0.00467875,0.00467875,0.00467875
45,40424,0.72073,0.61129,1.26072,0.94635,0.96447,0.98144,0.79241,0.87455,2.80034,1.37201,0.004555,0.004555,0.004555
46,41377,0.71494,0.59793,1.24984,0.9588,0.93163,0.97125,0.7865,0.84449,4.67738,1.34155,0.00443125,0.00443125,0.00443125
47,42329.4,0.72395,0.60558,1.2581,0.97374,0.95888,0.98135,0.78684,0.88001,2.19866,1.35093,0.0043075,0.0043075,0.0043075
48,43289.7,0.71851,0.59974,1.25845,0.9441,0.966,0.97606,0.80193,0.86356,2.59913,1.34002,0.00418375,0.00418375,0.00418375
49,44237.5,0.70947,0.58136,1.25214,0.95227,0.96076,0.98206,0.79905,0.89403,3.96759,1.37949,0.00406,0.00406,0.00406
50,45180.8,0.71056,0.57522,1.25721,0.95268,0.9618,0.98014,0.8049,0.82086,3.13785,1.29796,0.00393625,0.00393625,0.00393625
51,46125.3,0.70392,0.57519,1.24593,0.95696,0.95446,0.98372,0.80909,0.87102,2.60768,1.36768,0.0038125,0.0038125,0.0038125
52,47073.6,0.70247,0.57517,1.24412,0.98029,0.95485,0.98258,0.80674,0.84624,3.2743,1.31526,0.00368875,0.00368875,0.00368875
53,47968.9,0.69396,0.56656,1.24058,0.97203,0.94493,0.97973,0.79546,0.79505,3.33831,1.2886,0.003565,0.003565,0.003565
54,48852.9,0.69564,0.56924,1.2418,0.97067,0.96365,0.98193,0.80794,0.82258,2.13859,1.30206,0.00344125,0.00344125,0.00344125
55,49776.8,0.68637,0.55007,1.23747,0.96846,0.93228,0.97622,0.80836,0.79917,2.84076,1.29406,0.0033175,0.0033175,0.0033175
56,50699.2,0.69501,0.55206,1.23657,0.9641,0.96544,0.98412,0.80785,0.83027,3.04787,1.30961,0.00319375,0.00319375,0.00319375
57,51582.8,0.68151,0.54277,1.22822,0.94225,0.95604,0.98277,0.81653,0.82378,3.19577,1.30374,0.00307,0.00307,0.00307
58,52452.6,0.6881,0.55695,1.24123,0.96286,0.96238,0.98449,0.81326,0.76743,3.01805,1.2455,0.00294625,0.00294625,0.00294625
59,53322.3,0.68053,0.54741,1.23026,0.95628,0.96402,0.98174,0.80913,0.80494,2.99352,1.28183,0.0028225,0.0028225,0.0028225
60,54190.1,0.66731,0.53405,1.21713,0.95616,0.96011,0.98217,0.80888,0.8229,2.30737,1.29066,0.00269875,0.00269875,0.00269875
61,55056.7,0.6777,0.53238,1.22556,0.94543,0.95994,0.98541,0.81393,0.80566,2.73106,1.27967,0.002575,0.002575,0.002575
62,55923.8,0.67034,0.52355,1.22604,0.95269,0.95603,0.98652,0.82189,0.7502,2.33111,1.23154,0.00245125,0.00245125,0.00245125
63,56793.4,0.66743,0.52541,1.22009,0.96257,0.96641,0.98475,0.82648,0.80527,2.60179,1.27681,0.0023275,0.0023275,0.0023275
