epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,988.726,1.25047,1.86795,1.71501,0.16341,0.33202,0.12238,0.03976,1.80416,60.7695,2.92603,0.00332362,0.00332362,0.0700875
2,1941.39,1.27096,1.5705,1.71543,0.53469,0.61697,0.5586,0.25089,1.28964,58.463,2.17526,0.00657457,0.00657457,0.0400051
3,2889.2,1.19744,1.38649,1.64283,0.39103,0.45411,0.48905,0.24081,1.20718,41.9191,1.79316,0.00974302,0.00974302,0.0098402
4,3837.77,1.12871,1.30063,1.58602,0.74383,0.59713,0.73688,0.44304,1.00952,22.6649,1.63494,0.00962875,0.00962875,0.00962875
5,4784.86,1.10202,1.24398,1.56647,0.7789,0.86286,0.87935,0.50834,1.0562,35.6295,1.66845,0.009505,0.009505,0.009505
6,5730.97,1.05888,1.16609,1.52243,0.3032,0.31259,0.23904,0.06512,1.70848,16.4833,2.51622,0.00938125,0.00938125,0.00938125
7,6677.36,1.02626,1.10251,1.50146,0.84096,0.82978,0.90363,0.58808,0.91408,11.8811,1.38207,0.0092575,0.0092575,0.0092575
8,7625.73,1.00304,1.06901,1.48192,0.9046,0.81228,0.90151,0.64159,0.74128,7.99235,1.27056,0.00913375,0.00913375,0.00913375
9,8572.9,0.98409,1.00062,1.45907,0.06101,0.64212,0.17574,0.05505,2.00262,22.8892,2.9174,0.00901,0.00901,0.00901
10,9519.41,0.94561,0.96773,1.43664,0.17697,0.31308,0.28815,0.12942,1.58026,16.7714,2.39267,0.00888625,0.00888625,0.00888625
11,10466.7,0.9381,0.93669,1.42555,0.74596,0.86823,0.92369,0.67415,0.70026,10.851,1.16836,0.0087625,0.0087625,0.0087625
12,11415,0.92093,0.9169,1.41443,0.88883,0.90078,0.95428,0.70564,0.67281,7.34814,1.12381,0.00863875,0.00863875,0.00863875
13,12361.6,0.91138,0.89191,1.40333,0.61153,0.33182,0.34344,0.15352,1.61336,14.4051,2.29333,0.008515,0.008515,0.008515
14,13308.6,0.90627,0.88352,1.39608,0.553,0.75232,0.79681,0.54758,0.79816,6.86787,1.28822,0.00839125,0.00839125,0.00839125
15,14255.8,0.88204,0.84981,1.38755,0.73039,0.69477,0.79184,0.51349,0.83642,4.6941,1.33077,0.0082675,0.0082675,0.0082675
16,15206.7,0.87553,0.84528,1.37897,0.82232,0.87744,0.9371,0.67835,0.72558,7.54632,1.18234,0.00814375,0.00814375,0.00814375
17,16155.3,0.86945,0.8103,1.36815,0.50776,0.26543,0.15892,0.07275,1.63528,16.1946,2.39857,0.00802,0.00802,0.00802
18,17103.6,0.85901,0.80159,1.3627,0.89678,0.81364,0.93542,0.66538,0.79247,6.0945,1.24244,0.00789625,0.00789625,0.00789625
19,18052.9,0.84377,0.7799,1.35434,0.92919,0.88962,0.96307,0.72832,0.6749,6.66491,1.13529,0.0077725,0.0077725,0.0077725
20,19003.7,0.85211,0.78436,1.3549,0.8683,0.91241,0.94135,0.72395,0.61325,7.83785,1.05928,0.00764875,0.00764875,0.00764875
21,19950.7,0.82918,0.77086,1.34642,0.92886,0.91636,0.97007,0.7605,0.60036,3.1973,1.05605,0.007525,0.007525,0.007525
22,20897.3,0.83734,0.75818,1.35394,0.94504,0.92535,0.96654,0.74338,0.59643,8.93088,1.03621,0.00740125,0.00740125,0.00740125
23,21845.2,0.82686,0.75042,1.34059,0.92672,0.91559,0.96643,0.77438,0.57506,7.28796,1.04143,0.0072775,0.0072775,0.0072775
24,22792.3,0.81422,0.7223,1.33192,0.9514,0.89789,0.96877,0.77237,0.56274,3.05141,1.02172,0.00715375,0.00715375,0.00715375
25,23739.4,0.82171,0.73908,1.32961,0.94616,0.93303,0.96599,0.76644,0.5859,3.6767,1.04049,0.00703,0.00703,0.00703
