epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.282,0.73111,2.85801,1.34132,0.55229,0.4621,0.58352,0.48502,0.72688,7.65289,1.44023,0.000366172,0.000366172,0.000366172
2,547.637,0.69001,1.67531,1.30181,0.5082,0.51416,0.48126,0.28866,1.33107,9.2803,2.22018,0.000727391,0.000727391,0.000727391
3,827.155,0.71249,1.39113,1.30642,0.59135,0.75394,0.68656,0.43597,1.10317,7.1113,1.85218,0.00107944,0.00107944,0.00107944
4,1104.21,0.70999,1.20438,1.29401,0.47403,0.68301,0.78884,0.532,1.26715,10.4843,2.17352,0.00106975,0.00106975,0.00106975
5,1386.35,0.66735,1.02656,1.27189,0.6166,0.80176,0.8145,0.63832,0.80493,4.8163,1.50298,0.00105601,0.00105601,0.00105601
6,1664.96,0.6723,0.97474,1.26378,0.6528,0.80639,0.77079,0.59104,1.05457,5.06949,1.70924,0.00104226,0.00104226,0.00104226
7,1950.06,0.63979,0.88025,1.24052,0.45717,0.72977,0.74548,0.49255,1.26122,10.9693,1.97038,0.00102851,0.00102851,0.00102851
8,2239.23,0.60085,0.79813,1.21922,0.80927,0.88278,0.94019,0.65272,1.36293,2.91652,1.88318,0.00101476,0.00101476,0.00101476
9,2532.52,0.62634,0.78022,1.23196,0.93005,0.93002,0.9286,0.7498,0.81916,2.57002,1.39735,0.00100101,0.00100101,0.00100101
10,2799.84,0.59323,0.74807,1.20351,0.92604,0.94831,0.93921,0.78788,0.7701,1.94744,1.3507,0.000987262,0.000987262,0.000987262
11,3063.6,0.58274,0.6977,1.19553,0.88678,0.9045,0.93188,0.71961,0.90269,1.8154,1.55912,0.000973514,0.000973514,0.000973514
12,3325.9,0.58332,0.69496,1.20134,0.95003,0.92914,0.95122,0.73211,0.91479,1.57137,1.46962,0.000959765,0.000959765,0.000959765
13,3599.02,0.58091,0.65251,1.19431,0.85744,0.87982,0.94149,0.79807,0.7911,1.55624,1.34114,0.000946016,0.000946016,0.000946016
14,3880.69,0.56988,0.62152,1.1894,0.87271,0.91947,0.94226,0.76612,0.88722,1.31708,1.43015,0.000932268,0.000932268,0.000932268
15,4172.18,0.59505,0.61954,1.20332,0.90958,0.85564,0.94271,0.78969,0.70578,1.26553,1.27111,0.000918519,0.000918519,0.000918519
16,4459.44,0.57792,0.59767,1.19381,0.71778,0.81502,0.79218,0.58531,1.33237,2.28062,2.16945,0.000904771,0.000904771,0.000904771
17,4745.18,0.56427,0.59937,1.1813,0.94695,0.62253,0.77473,0.57008,1.65143,2.14724,2.28709,0.000891022,0.000891022,0.000891022
18,5023.5,0.56428,0.57044,1.18476,0.85197,0.86344,0.92703,0.78217,0.77145,1.63753,1.28218,0.000877273,0.000877273,0.000877273
19,5312.03,0.57346,0.57756,1.1813,0.90223,0.92823,0.94642,0.80633,0.7879,1.07976,1.31794,0.000863525,0.000863525,0.000863525
20,5600.38,0.55076,0.59107,1.17555,0.91784,0.92308,0.93676,0.75129,0.87241,1.36858,1.41223,0.000849776,0.000849776,0.000849776
21,5896.98,0.54456,0.54943,1.17002,0.91407,0.91516,0.96951,0.83264,0.85569,1.33458,1.38207,0.000836027,0.000836027,0.000836027
22,6186.67,0.53086,0.51166,1.15946,0.94394,0.96356,0.97214,0.84733,0.67078,0.97485,1.19644,0.000822279,0.000822279,0.000822279
23,6472.39,0.53587,0.50763,1.15422,0.95048,0.964,0.95597,0.83756,0.67919,1.13311,1.21958,0.00080853,0.00080853,0.00080853
24,6747.83,0.54317,0.5146,1.16126,0.84353,0.89472,0.93406,0.78865,0.72296,0.96347,1.244,0.000794782,0.000794782,0.000794782
25,7023.06,0.53563,0.5299,1.15954,0.93524,0.96571,0.94843,0.82319,0.73603,1.25943,1.28413,0.000781033,0.000781033,0.000781033
26,7296.3,0.52563,0.51153,1.14732,0.92697,0.95682,0.93558,0.79818,0.74784,1.51648,1.24473,0.000767284,0.000767284,0.000767284
27,7570.69,0.51903,0.50459,1.14852,0.89865,0.95972,0.95349,0.82041,0.74841,1.46498,1.25729,0.000753536,0.000753536,0.000753536
28,7874.67,0.51936,0.49144,1.15067,0.93067,0.9316,0.95369,0.82615,0.74893,1.12564,1.28145,0.000739787,0.000739787,0.000739787
29,8223.66,0.52257,0.49373,1.15429,0.9224,0.95759,0.96973,0.83891,0.70759,1.29936,1.25755,0.000726038,0.000726038,0.000726038
30,8515.88,0.50972,0.48434,1.14386,0.95144,0.96737,0.97886,0.83284,0.75182,1.04558,1.3078,0.00071229,0.00071229,0.00071229
31,8799.86,0.52377,0.48182,1.15625,0.93706,0.94071,0.97149,0.81922,0.88471,0.93612,1.3228,0.000698541,0.000698541,0.000698541
32,9083.98,0.53148,0.49925,1.16096,0.94112,0.95421,0.97119,0.83634,0.73066,0.88679,1.26217,0.000684793,0.000684793,0.000684793
33,9370.9,0.50518,0.48575,1.14862,0.92667,0.96052,0.95421,0.8222,0.75308,1.01262,1.26997,0.000671044,0.000671044,0.000671044
34,9659.93,0.51992,0.4686,1.15124,0.94866,0.96571,0.967,0.84086,0.63909,1.05229,1.18511,0.000657295,0.000657295,0.000657295
35,9945.84,0.48005,0.44149,1.12264,0.93101,0.95934,0.97687,0.83674,0.79346,1.04233,1.27503,0.000643547,0.000643547,0.000643547
36,10234.3,0.50479,0.45261,1.14481,0.94224,0.95678,0.95746,0.8335,0.82125,1.03845,1.29176,0.000629798,0.000629798,0.000629798
37,10521,0.50504,0.46183,1.13967,0.9371,0.96195,0.96227,0.86204,0.68145,0.77271,1.23391,0.000616049,0.000616049,0.000616049
38,10807.6,0.5023,0.43759,1.14624,0.93482,0.96123,0.96551,0.83863,0.69071,1.1979,1.19706,0.000602301,0.000602301,0.000602301
39,11094.1,0.48872,0.43977,1.1222,0.92047,0.94664,0.96223,0.85471,0.69824,0.85508,1.20716,0.000588552,0.000588552,0.000588552
40,11384.7,0.49349,0.42131,1.13407,0.95126,0.96221,0.97144,0.84551,0.74122,0.80305,1.24906,0.000574804,0.000574804,0.000574804
41,11674.3,0.47844,0.43049,1.12262,0.90659,0.94692,0.96795,0.86181,0.6871,0.89747,1.18308,0.000561055,0.000561055,0.000561055
42,11966,0.49053,0.43707,1.12982,0.9315,0.96279,0.96677,0.85707,0.70431,0.72217,1.19795,0.000547306,0.000547306,0.000547306
43,12250.7,0.47418,0.41486,1.1253,0.95096,0.96571,0.96126,0.84336,0.755,1.11719,1.26291,0.000533558,0.000533558,0.000533558
44,12535.8,0.48603,0.42063,1.12193,0.94691,0.95449,0.96537,0.82653,0.74528,0.96064,1.28495,0.000519809,0.000519809,0.000519809
45,12820.5,0.48138,0.40339,1.12665,0.9217,0.93466,0.95622,0.84767,0.66144,0.87474,1.15491,0.00050606,0.00050606,0.00050606
46,13105.5,0.47516,0.39871,1.11931,0.94044,0.96449,0.97207,0.84694,0.71694,0.91925,1.21165,0.000492312,0.000492312,0.000492312
47,13395.1,0.49184,0.41004,1.12421,0.94781,0.96571,0.96604,0.86967,0.62655,1.18239,1.13676,0.000478563,0.000478563,0.000478563
48,13685.5,0.49651,0.40703,1.13188,0.95225,0.96571,0.97764,0.88894,0.65485,0.79508,1.15309,0.000464815,0.000464815,0.000464815
49,13969.4,0.47034,0.42093,1.12082,0.95499,0.96177,0.97783,0.87408,0.62027,0.97111,1.13813,0.000451066,0.000451066,0.000451066
50,14245.6,0.46485,0.408,1.11489,0.95143,0.95484,0.97779,0.87507,0.65223,0.87276,1.17862,0.000437317,0.000437317,0.000437317
51,14522.1,0.4706,0.41149,1.11267,0.94578,0.96571,0.97674,0.87158,0.64918,0.92685,1.1438,0.000423569,0.000423569,0.000423569
52,14797.3,0.46389,0.38631,1.11273,0.92198,0.95257,0.96349,0.86116,0.63681,0.81655,1.13096,0.00040982,0.00040982,0.00040982
53,15072.1,0.45788,0.38808,1.10482,0.93227,0.96571,0.97233,0.85585,0.66445,0.77361,1.15481,0.000396071,0.000396071,0.000396071
54,15345.4,0.4612,0.37329,1.10188,0.95198,0.96571,0.97143,0.86296,0.6084,0.79597,1.11368,0.000382323,0.000382323,0.000382323
55,15619.1,0.46109,0.37574,1.1071,0.94861,0.96571,0.97527,0.87042,0.63877,0.6903,1.11969,0.000368574,0.000368574,0.000368574
56,15891.5,0.46653,0.38482,1.11091,0.95077,0.96571,0.96515,0.86409,0.61136,0.99135,1.11044,0.000354826,0.000354826,0.000354826
57,16162.4,0.45178,0.36849,1.09964,0.93984,0.94977,0.95554,0.86501,0.60841,1.08362,1.10036,0.000341077,0.000341077,0.000341077
58,16433.1,0.44519,0.36846,1.09115,0.95447,0.96571,0.9666,0.86076,0.64894,1.03109,1.12107,0.000327328,0.000327328,0.000327328
59,16703.7,0.44284,0.36012,1.0968,0.94161,0.96571,0.97203,0.86937,0.60724,0.72346,1.08964,0.00031358,0.00031358,0.00031358
60,16974.3,0.44848,0.36241,1.10212,0.94604,0.96571,0.97758,0.87256,0.55833,0.7999,1.0757,0.000299831,0.000299831,0.000299831
61,17245.4,0.44014,0.367,1.09299,0.94538,0.95077,0.96322,0.87029,0.58211,1.04847,1.08232,0.000286083,0.000286083,0.000286083
62,17516.1,0.44519,0.36227,1.09307,0.94757,0.96571,0.97135,0.87606,0.62705,1.02676,1.11228,0.000272334,0.000272334,0.000272334
63,17786.8,0.4426,0.36568,1.10015,0.94277,0.96163,0.97665,0.88178,0.59776,0.73855,1.08605,0.000258585,0.000258585,0.000258585
