epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.462,0.73111,2.85801,1.34132,0.55229,0.4621,0.58352,0.48502,0.72688,7.65289,1.44023,0.000366172,0.000366172,0.000366172
2,618.217,0.68602,1.66187,1.29989,0.71749,0.45792,0.55617,0.30411,1.34953,9.17329,1.91272,0.000729214,0.000729214,0.000729214
3,943.157,0.69313,1.37687,1.2989,0.5932,0.64864,0.66941,0.40603,1.50056,14.7158,2.55817,0.00108492,0.00108492,0.00108492
4,1252.47,0.70201,1.22854,1.29149,0.65236,0.5,0.48377,0.27175,1.66826,8.65035,3.00359,0.001078,0.001078,0.001078
5,1583.11,0.68,1.07832,1.2785,0.6147,0.85067,0.85307,0.54659,0.88533,4.40486,1.4974,0.001067,0.001067,0.001067
6,1867.21,0.66628,0.98318,1.26276,0.74091,0.89228,0.92891,0.69668,0.86262,2.67383,1.43936,0.00105601,0.00105601,0.00105601
7,2147.07,0.63942,0.89343,1.24472,0.68471,0.85094,0.89677,0.60607,1.40497,12.565,2.31316,0.00104501,0.00104501,0.00104501
8,2438.27,0.63678,0.80648,1.25012,0.69745,0.76093,0.8859,0.71068,0.9637,3.71531,1.5985,0.00103401,0.00103401,0.00103401
9,2752.15,0.62772,0.80145,1.23899,0.79097,0.77551,0.84464,0.65248,0.9652,5.9212,1.52926,0.00102301,0.00102301,0.00102301
10,3051.24,0.60616,0.75005,1.20976,0.68026,0.84191,0.86774,0.62251,1.06819,2.13776,1.81529,0.00101201,0.00101201,0.00101201
