epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1202.06,1.24686,1.85805,1.70446,0.63717,0.10526,0.06739,0.01695,2.62743,5.67034,5.27753,0.00332226,0.00332226,0.0700997
2,2335.02,1.24873,1.49694,1.69278,0.37075,0.37184,0.25618,0.10864,2.06783,3.07089,3.22708,0.00656146,0.00656146,0.0400055
3,3441.98,1.18596,1.34048,1.64102,0.13627,0.61559,0.30612,0.1104,2.43163,3.52308,4.01693,0.00970638,0.00970638,0.00981712
4,4566.26,1.12411,1.2647,1.57937,0.72234,0.80947,0.85845,0.46323,1.54942,1.27192,2.59011,0.00957571,0.00957571,0.00957571
5,5695.35,1.08587,1.14526,1.54488,0.86825,0.84283,0.93351,0.61144,1.18987,0.90154,2.00254,0.00943429,0.00943429,0.00943429
6,6857.68,1.03377,1.0722,1.50283,0.81374,0.84783,0.88254,0.62507,1.08535,0.94713,1.79512,0.00929286,0.00929286,0.00929286
7,7986.03,1.0107,1.0318,1.48576,0.07167,0.73241,0.22585,0.06724,2.784,3.13836,4.30521,0.00915143,0.00915143,0.00915143
8,9199.37,0.99424,0.99666,1.47897,0.47466,0.42889,0.35981,0.14378,2.74869,2.0316,4.85302,0.00901,0.00901,0.00901
9,10375.6,0.96041,0.94901,1.44647,0.91785,0.90091,0.95861,0.63165,1.2164,0.72007,1.90499,0.00886857,0.00886857,0.00886857
10,11484.7,0.94132,0.92902,1.42961,0.79397,0.90283,0.92672,0.52807,1.43728,1.03407,2.21029,0.00872714,0.00872714,0.00872714
11,12620.1,0.94225,0.90989,1.42989,0.85081,0.87724,0.92672,0.68972,0.97604,0.78802,1.63797,0.00858571,0.00858571,0.00858571
12,13716.2,0.9313,0.90007,1.4171,0.94243,0.91811,0.96993,0.72762,0.96921,0.61753,1.72851,0.00844429,0.00844429,0.00844429
13,14823.8,0.89928,0.86562,1.39672,0.75952,0.78619,0.87105,0.63074,1.03091,1.01272,1.73415,0.00830286,0.00830286,0.00830286
14,15923.7,0.88892,0.83561,1.38834,0.95918,0.91949,0.97978,0.75384,0.88637,0.51319,1.56874,0.00816143,0.00816143,0.00816143
15,17027.5,0.88037,0.8366,1.38573,0.95165,0.87828,0.96375,0.70541,0.97597,0.64359,1.66571,0.00802,0.00802,0.00802
16,18118.6,0.86471,0.8096,1.37021,0.94869,0.92572,0.97,0.73321,0.93925,0.55216,1.63555,0.00787857,0.00787857,0.00787857
17,19286.3,0.86275,0.79712,1.3702,0.85082,0.91322,0.95841,0.70436,1.00784,0.6904,1.71158,0.00773714,0.00773714,0.00773714
18,937.552,0.8555,0.79353,1.38755,0.82922,0.77591,0.87449,0.53434,1.35128,0.95217,2.0521,0.00759571,0.00759571,0.00759571
19,1787.83,0.84248,0.75006,1.37395,0.93348,0.90259,0.97978,0.75537,0.89986,0.54114,1.57314,0.00745429,0.00745429,0.00745429
20,2633.79,0.83518,0.74481,1.35821,0.95,0.91642,0.96588,0.66842,1.0889,0.61993,1.79228,0.00731286,0.00731286,0.00731286
