epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,929.52,1.27366,1.84237,1.72727,0.14171,0.30614,0.14609,0.03489,2.12167,63.7741,3.77056,0.00332308,0.00332308,0.0700923
2,1821.7,1.27093,1.5599,1.7134,0.94738,0.15789,0.21937,0.0637,1.69962,18.0616,2.67207,0.00657404,0.00657404,0.0400099
3,2709.43,1.19719,1.40257,1.64795,0.30509,0.54199,0.40077,0.12252,2.02722,50.1546,3.30355,0.0097425,0.0097425,0.00984506
4,3596.54,1.13351,1.25318,1.5896,0.743,0.56791,0.61959,0.33518,1.17043,34.7302,1.77731,0.00962875,0.00962875,0.00962875
5,4482.57,1.07658,1.18864,1.54863,0.7208,0.75425,0.7646,0.52398,0.91452,13.8837,1.54139,0.009505,0.009505,0.009505
6,5369.7,1.06034,1.13473,1.5233,0.72279,0.75185,0.76714,0.54508,0.80456,17.2349,1.3656,0.00938125,0.00938125,0.00938125
7,6261.29,1.02297,1.07472,1.49561,0.66359,0.81057,0.84867,0.44411,1.2359,15.3208,1.74052,0.0092575,0.0092575,0.0092575
8,7390.72,0.99439,1.03606,1.4712,0.59058,0.68367,0.70084,0.30381,1.52771,4.74808,2.20639,0.00913375,0.00913375,0.00913375
